Train_Number,Train_Name,Start_Station,Start_Code,Destination_Station,Destination_Code,Departure,Arrival
19223,Adi Jat Express,Ahmedabad Junction,ADI,Jammu Tawi,JAT,23:24,19:15
12473,Sarvodaya Express,Ahmedabad Junction,ADI,Jammu Tawi,JAT,17:21,22:46
9425,Adi Jaipur Special,Ahmedabad Junction,ADI,Jaipur,JP,01:36,04:58
54805,Jaipur Passenger,Ahmedabad Junction,ADI,Jaipur,JP,20:29,06:56
19606,Adi Koaa Express,Ahmedabad Junction,ADI,Kolkata,KOAA,15:31,18:54
19413,Kolkata Express,Ahmedabad Junction,ADI,Kolkata,KOAA,21:26,20:19
11049,KOAAhapur Express,Ahmedabad Junction,ADI,C Shahumharaj T,KOP,04:58,10:49
19401,Adi Lucknow Express,Ahmedabad Junction,ADI,Lucknow Nr,LJN,10:18,16:26
9413,Adi Lucknow Special,Ahmedabad Junction,ADI,Lucknow Nr,LJN,03:17,16:49
9416,Adi Madgaon Special,Ahmedabad Junction,ADI,Madgaon,MAO,05:34,16:55
9420,Adi Majn Superfast Special,Ahmedabad Junction,ADI,Mangalore Cntl,MAQ,03:32,07:16
19420,Adi Chennai Express,Ahmedabad Junction,ADI,Chennai Central,MAS,10:45,06:26
12655,Navjeevan Express,Ahmedabad Junction,ADI,Chennai Central,MAS,17:07,13:42
9018,Adi Bct Ac Special,Ahmedabad Junction,ADI,Mumbai Central,MMCT,03:21,07:13
59442,Ahmedabad Passenger,Ahmedabad Junction,ADI,Mumbai Central,MMCT,20:20,23:08
12932,Bct Doubledecke,Ahmedabad Junction,ADI,Mumbai Central,MMCT,07:18,15:30
12268,Bct Duronto Express,Ahmedabad Junction,ADI,Mumbai Central,MMCT,18:58,20:08
19012,Gujarat Express,Ahmedabad Junction,ADI,Mumbai Central,MMCT,03:39,06:04
12902,Gujarat Mail,Ahmedabad Junction,ADI,Mumbai Central,MMCT,03:03,09:26
12934,Karnavati Express,Ahmedabad Junction,ADI,Mumbai Central,MMCT,06:34,23:46
12010,Shatabdi Express,Ahmedabad Junction,ADI,Mumbai Central,MMCT,20:11,09:18
12957,Swarna J Raj Express,Ahmedabad Junction,ADI,New Delhi,NDLS,23:43,22:39
11453,Prerana Express,Ahmedabad Junction,ADI,Nagpur Junction,NGP,09:27,07:02
12917,Gujarat Sampark K,Ahmedabad Junction,ADI,Hazrat Nizamuddin,NZM,16:46,13:06
59547,Okha Passenger,Ahmedabad Junction,ADI,Okha,OKHA,17:21,05:14
9411,Adi Patna Special,Ahmedabad Junction,ADI,Patna Junction,PNBE,00:45,07:09
19421,Adi Pnbe Express,Ahmedabad Junction,ADI,Patna Junction,PNBE,08:04,21:59
12947,Azimabad Express,Ahmedabad Junction,ADI,Patna Junction,PNBE,22:45,04:18
11095,Ahimsa Express,Ahmedabad Junction,ADI,Pune Junction,PUNE,21:56,23:37
12297,Pune Duronto,Ahmedabad Junction,ADI,Pune Junction,PUNE,05:26,11:59
18406,Adi Puri Express,Ahmedabad Junction,ADI,Puri,PURI,10:36,15:13
12844,Adi Puri Express,Ahmedabad Junction,ADI,Puri,PURI,12:17,20:47
7017,Adi Sc Premium,Ahmedabad Junction,ADI,Secunderabad Junction,SC,20:54,05:09
19403,Sultanpur Express,Ahmedabad Junction,ADI,Sultanpur,SLN,00:18,11:30
19415,Adi Svdk Express,Ahmedabad Junction,ADI,Shmata V D Ktra,SVDK,00:28,23:30
19107,Janmabhoomi Express,Ahmedabad Junction,ADI,Udhampur,UHP,03:10,17:28
19221,Somnath Express,Ahmedabad Junction,ADI,Veraval,VRL,06:02,03:26
16501,Adi Ypr Express,Ahmedabad Junction,ADI,Yesvantpur Junction,YPR,05:45,08:24
6532,Yashvantpur Special,Ahmedabad Junction,ADI,Yesvantpur Junction,YPR,04:02,13:10
19406,Ypr Ac Express,Ahmedabad Junction,ADI,Yesvantpur Junction,YPR,22:30,17:45
,,,,,,,
12547,Af Adi Superfast Express,Agra Fort,AF,Ahmedabad Junction,ADI,17:55,07:08
12195,Af Aii Intercity,Agra Fort,AF,Ajmer Junction,AII,13:14,16:00
9612,Af Aii Special,Agra Fort,AF,Ajmer Junction,AII,01:55,22:33
12036,Af Jp Shatabdi,Agra Fort,AF,Jaipur,JP,16:48,08:42
15055,Af Rmr Express,Agra Fort,AF,Ramnagar,RMT,20:03,03:58
12320,AF Koaa Express,Agra Fort,AF,Kolkata,KOAA,00:09,18:39
13168,AF Koaa Express,Agra Fort,AF,Kolkata,KOAA,20:43,17:30
12180,Ljn Intercity,Agra Fort,AF,Lucknow Ne,LNJ,19:38,23:44
12162,Lashkar Express,Agra Fort,AF,Lokmanyatilak T,LTT,15:35,22:54
14211,Intercity Express,Agra Fort,AF,New Delhi,NDLS,18:08,03:22
12049,Gatimaan Express,Agra Fort,AF,Hazrat Nizamuddin,NZM,14:28,13:42
1436,AF Pune Special,Agra Fort,AF,Pune Junction,PUNE,06:00,03:18
,,,,,,,
9649,Aii Adi Special,Ajmer Junction,AII,Ahmedabad Junction,ADI,08:54,04:04
19412,Intercity Express,Ajmer Junction,AII,Ahmedabad Junction,ADI,18:26,12:46
12196,Aii Af Intercity,Ajmer Junction,AII,Agra Fort,AF,10:52,19:33
5712,Aii Apdj Special,Ajmer Junction,AII,Alipur Duar Junction,APDJ,19:47,20:43
19613,Ajmer Asr Express,Ajmer Junction,AII,Amritsar Junction,ASR,11:17,02:35
19611,Ajmer Asr Express,Ajmer Junction,AII,Amritsar Junction,ASR,10:59,03:20
19771,Jaipur Asr Express,Ajmer Junction,AII,Amritsar Junction,ASR,17:11,00:17
19781,Jp Asr Express,Ajmer Junction,AII,Amritsar Junction,ASR,23:36,12:31
22996,Aii Bdts Superfast Express,Ajmer Junction,AII,Bandra Terminus,BDTS,07:36,13:39
9611,Aii Bdts Special,Ajmer Junction,AII,Bandra Terminus,BDTS,14:36,04:11
9619,Aii Bdts Urs Special,Ajmer Junction,AII,Bandra Terminus,BDTS,11:59,08:01
9601,Aii Beas Special,Ajmer Junction,AII,Beas,BEAS,20:16,06:47
13424,Aii Bgp Express,Ajmer Junction,AII,Bhagalpur,BGP,20:04,23:25
5286,Aii Bju Special,Ajmer Junction,AII,Barauni Junction,BJU,23:30,20:09
12983,Aii Cdg G Rath,Ajmer Junction,AII,Chandigarh Junction,CDG,00:14,11:53
5104,Aii Cpr Special,Ajmer Junction,AII,Chhapra,CPR,10:47,02:12
5238,Aii Dbg Special,Ajmer Junction,AII,Darbhanga Junction,DBG,06:53,13:36
12990,Aii Ddr Express,Ajmer Junction,AII,Dadar Western,DDR,09:57,01:33
9627,Aii Dee Superfast Special,Ajmer Junction,AII,Delhi S Rohilla,DEE,16:48,19:02
4042,Aii Dli Superfast Special,Ajmer Junction,AII,Delhi,DLI,13:35,22:14
18208,Aii Durg Express,Ajmer Junction,AII,Durg,DURG,10:54,08:01
12978,Maru Sagar Express,Ajmer Junction,AII,Eranakulam Junction,ERS,02:17,21:30
9640,Aii Hw Special,Ajmer Junction,AII,Haridwar Junction,HW,07:48,17:38
19609,Aii Hw Express,Ajmer Junction,AII,Haridwar Junction,HW ,20:00,14:26
3002,Aii Hwh Special,Ajmer Junction,AII,Howrah Junction,HWH ,06:15,02:00
3138,Aii Koaa Special,Ajmer Junction,AII,Howrah Junction,HWH ,16:31,01:16
17019,Aii Hyb Express,Ajmer Junction,AII,Hyderabad Decan,HYB,11:09,06:36
12719,Aii Hyb Superfast Express,Ajmer Junction,AII,Hyderabad Decan,HYB,12:59,14:28
7126,Aii Hyb Special,Ajmer Junction,AII,Hyderabad Decan,HYB,15:53,02:58
7019,Aii Hyb Special,Ajmer Junction,AII,Hyderabad Decan,HYB,20:00,00:38
9312,Aii Indb Special,Ajmer Junction,AII,Indore Junction Bg,INDB,20:01,08:24
12413,Aii Jat Express,Ajmer Junction,AII,Jammu Tawi,JAT,19:52,19:14
12182,Dayodaya Express,Ajmer Junction,AII,Jabalpur,JBP,15:27,03:20
9621,Aii Jp Intercity,Ajmer Junction,AII,Jaipur,JP,13:25,13:08
9625,Aii Jp Superfast Special,Ajmer Junction,AII,Jaipur,JP,18:05,02:10
54802,Aii Ju Fast Passenger,Ajmer Junction,AII,Jodhpur Junction,JU,17:51,10:17
7130,Aii Kcg Special,Ajmer Junction,AII,Kacheguda,KCG,14:56,01:23
15716,Garib Nawaj Express,Ajmer Junction,AII,Kishanganj,KNW,02:17,06:35
12065,Nzm Jan Shatabd,Ajmer Junction,AII,Hazrat Nizamuddin,NZM,06:00,05:06
18422,Aii Puri Express,Ajmer Junction,AII,Puri,PURI,05:06,22:53
8422,Aii Puri Express,Ajmer Junction,AII,Puri,PURI,23:46,13:37
12396,Ziyarat Express,Ajmer Junction,AII,Rajendra Nagar,RJPB,06:41,22:17
18632,Rnc Garib Nawaz,Ajmer Junction,AII,Ranchi,RNC,08:32,04:20
19654,Aii Rtm Express,Ajmer Junction,AII,Ratlam Junction,RTLM ,00:28,17:41
16531,Sbc Garib Nawaj,Ajmer Junction,AII,Bangalore Cy Junction,SBC,20:50,17:32
12988,Aii Sdah Express,Ajmer Junction,AII,Sealdah,SDAH,17:57,18:44
3180,Aii Sdah Superfast Special,Ajmer Junction,AII,Sealdah,SDAH,19:50,01:24
19603,Aii Sln Express,Ajmer Junction,AII,Sultanpur,SLN,00:33,02:04
18010,Santragachi Express,Ajmer Junction,AII,Santragachi Junction,SRC,12:54,11:10
9602,Aii Beas Special,Ajmer Junction,AII,Udaipur City,UDZ,07:51,00:30
,,,,,,,
19418,Ald Adi Express,Allahabad Junction,ALD,Ahmedabad Junction,ADI,18:00,18:42
9430,Ald Adi Special,Allahabad Junction,ALD,Ahmedabad Junction,ADI,01:07,01:22
4421,Ald Anvt Superfast Special,Allahabad Junction,ALD,Anand Vihar Terminal,ANVT,17:09,18:22
14217,Unchahar Express,Allahabad Junction,ALD,Chandigarh Junction,CDG,23:26,03:08
22441,Cnb Intercity,Allahabad Junction,ALD,Kanpur Central,CNB,23:06,03:21
14163,Sangam Express,Allahabad Junction,ALD,Dehradun,DDN,01:43,20:45
4001,Ald Dli Superfast Special,Allahabad Junction,ALD,Delhi,DLI,16:22,07:30
14115,Ald Hw Express,Allahabad Junction,ALD,Haridwar Junction,HW,06:45,19:36
4120,Ald Hwh Special,Allahabad Junction,ALD,Howrah Junction,HWH,05:34,04:42
7092,Ald Hyb Special,Allahabad Junction,ALD,Hyderabad Decan,HYB,03:19,01:52
4121,Ald Jat Ac Special,Allahabad Junction,ALD,Jammu Tawi,JAT,02:20,02:50
4131,Ald Jat Premium,Allahabad Junction,ALD,Jammu Tawi,JAT,08:30,23:23
12403,Ald Jp Express,Allahabad Junction,ALD,Jaipur,JP,07:57,03:34
14215,Ganga Gomti Express,Allahabad Junction,ALD,Lucknow Nr,LNJ,21:55,02:44
12294,Ald Ltt Duronto,Allahabad Junction,ALD,Lokmanyatilak T,LTT,11:08,22:54
4127,Ald Ltt Premium,Allahabad Junction,ALD,Lokmanyatilak T,LTT,08:17,08:35
12564,Ald Ltt Superfast Express,Allahabad Junction,ALD,Lokmanyatilak T,LTT,15:53,15:14
1006,Ald Ltt Special,Allahabad Junction,ALD,Lokmanyatilak T,LTT,04:09,10:56
4115,Ald Ltt Special,Allahabad Junction,ALD,Lokmanyatilak T,LTT,00:31,18:15
11070,Tulsi Express,Allahabad Junction,ALD,Lokmanyatilak T,LTT,17:17,16:42
4111,Ald Ndls Superfast Special,Allahabad Junction,ALD,New Delhi,NDLS,00:28,08:06
4423,Ald Ndls Special,Allahabad Junction,ALD,New Delhi,NDLS,23:43,21:47
12275,Ndls Duronto Express,Allahabad Junction,ALD,New Delhi,NDLS,17:51,10:25
12417,Prayag Raj Express,Allahabad Junction,ALD,New Delhi,NDLS,04:44,19:18
7514,Ald Ned Special,Allahabad Junction,ALD,Nanded,NED,23:41,04:29
7512,Ald Ned Special,Allahabad Junction,ALD,Nanded,NED,20:11,20:55
4113,Ald Uhp Special,Allahabad Junction,ALD,Udhampur,UHP,03:22,07:40
8576,Ald Vskp Special,Allahabad Junction,ALD,Vishakapatnam,VSKP,13:13,23:27
,,,,,,,
12119,Ami Ajni Express,Amravati,AMI,Ajni,AJNI,03:21,15:20
12159,Ami Jbp Superfast Express,Amravati,AMI,Jabalpur,JBP,06:15,12:47
12112,Amravati Cstm E,Amravati,AMI,Mumbai Central,MMCT,23:44,00:41
11406,Ami Pune Express,Amravati,AMI,Pune Junction,PUNE,19:23,01:15
59026,ST Fast Passenger,Amravati,AMI,SURAT,ST,02:50,14:25
12766,Ami Tpty Superfast Express,Amravati,AMI,Tirupati,TPTY,19:55,15:30
9050,Ami Udn Passenger Special,Amravati,AMI,Udhna Junction,UDN,19:18,12:18
,,,,,,,
4422,Anvt Ald Superfast Special,Anand Vihar Terminal,ANVT,Allahabad Junction,ALD,14:46,11:16
4118,Anvt Ald Special,Anand Vihar Terminal,ANVT,Allahabad Junction,ALD,13:32,00:09
4028,Anvt Apdj Special,Anand Vihar Terminal,ANVT,Alipur Duar Junction,APDJ,17:07,22:14
3518,Anvt Asn Special,Anand Vihar Terminal,ANVT,Asansol Junction,ASN,13:04,10:42
22406,Anvt Bgp G Rath,Anand Vihar Terminal,ANVT,Bhagalpur,BGP,03:07,07:00
12368,Vikramshila Express,Anand Vihar Terminal,ANVT,Bhagalpur,BGP,07:49,12:57
22408,Bsb Garib Rath,Anand Vihar Terminal,ANVT,Varanasi Junction,BSBS,20:41,06:36
14152,Anvt Cnb Express,Anand Vihar Terminal,ANVT,Kanpur Central,CNB,03:49,04:31
2398,Anvt Gaya Special,Anand Vihar Terminal,ANVT,Gaya Junction,GAYA,08:24,21:09
22410,Ssm Garib Rath,Anand Vihar Terminal,ANVT,Gaya Junction,GAYA,12:36,23:37
12506,North East Express,Anand Vihar Terminal,ANVT,Guwahati,GHY,02:49,16:47
5028,Anvt Gkp Special,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,03:27,18:58
15058,Anvt Gkp Express,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,20:11,23:17
5052,Anvt Gkp Special,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,06:58,19:40
5036,Anvt Gkp Special,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,15:35,15:59
5040,Anvt Gkp Special,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,08:47,11:53
5058,Anvt Gkp Special,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,11:34,01:21
2528,Gkp Premium Special,Anand Vihar Terminal,ANVT,Gorakhpur Junction,GKP,11:51,06:17
12444,Anvt Hlz S F Express,Anand Vihar Terminal,ANVT,Haldia,HLZ,19:30,23:55
12570,Jyg Garib Rath,Anand Vihar Terminal,ANVT,Jaynagar,JYG,08:23,01:30
12040,Anvt Kgm Shatabdi,Anand Vihar Terminal,ANVT,Kathgodam,KGM,11:54,11:37
13132,Anvt Koaa Express,Anand Vihar Terminal,ANVT,Kolkata,KOAA,05:20,08:53
3126,Anvt Koaa Superfast Special,Anand Vihar Terminal,ANVT,Kolkata,KOAA,16:19,02:11
12874,Jharkhand Express,Anand Vihar Terminal,ANVT,Hatia,KRBA,04:47,03:32
12818,Jharkhand Express,Anand Vihar Terminal,ANVT,Hatia,KRBA,08:09,00:58
15622,Anvt Kyq Express,Anand Vihar Terminal,ANVT,Kamakhya,KYQ,05:06,00:08
12584,Ljn Double Dkr,Anand Vihar Terminal,ANVT,Lucknow Ne,LNJ,23:24,16:06
15026,Anvt Mau Express,Anand Vihar Terminal,ANVT,Mau Junction,MAU,05:30,04:33
13430,Anvt Mldt Express,Anand Vihar Terminal,ANVT,Malda Town,MLDT,12:06,23:34
12212,Mfp Garib Rath,Anand Vihar Terminal,ANVT,Muzaffarpur Junction,MPF,14:41,22:33
12558,Sapt Kranti Express,Anand Vihar Terminal,ANVT,Muzaffarpur Junction,MPF,17:42,17:22
3210,Anvt Pnbe Special,Anand Vihar Terminal,ANVT,Patna Junction,PNBE,12:13,02:22
2394,Anvt Pnbe Special,Anand Vihar Terminal,ANVT,Patna Junction,PNBE,18:18,06:20
2366,Pnbe Premium Special,Anand Vihar Terminal,ANVT,Patna Junction,PNBE,20:14,01:07
12428,Anvt Rewa Express,Anand Vihar Terminal,ANVT,Rewa,REWA,02:53,14:28
3190,Anvt Sdah Superfast Special,Anand Vihar Terminal,ANVT,Sealdah,SDAH,15:14,05:10
14006,Lichchavi Express,Anand Vihar Terminal,ANVT,Sitamarhi,SMI,21:30,06:53
22858,Anvt Src Superfast Express,Anand Vihar Terminal,ANVT,Santragachi Junction,SRC,02:06,15:54
8034,Anvt Src Special,Anand Vihar Terminal,ANVT,Santragachi Junction,SRC,09:22,21:44
4403,Anvt Uhp Special,Anand Vihar Terminal,ANVT,Udhampur,UHP,13:02,01:55
,,,,,,,
5711,Apdj Aii Special,Alipur Duar Junction,APDJ,Ajmer Junction,AII,11:44,20:22
5817,Apdj Dbb Special,Alipur Duar Junction,APDJ,Dhubri,DBB,03:00,03:39
15483,Mahananda Express,Alipur Duar Junction,APDJ,Delhi,DLI,01:06,04:30
15471,Intercity Express,Alipur Duar Junction,APDJ,Kamakhya,KYQ,10:09,09:03
15469,Intercity Express,Alipur Duar Junction,APDJ,Lumding Junction,LMG,17:06,07:50
13150,Kanchankanya Express,Alipur Duar Junction,APDJ,Sealdah,SDAH,01:54,01:10
,,,,,,,
3517,Asn Anvt Special,Asansol Junction,ASN,Anand Vihar Terminal,ANVT,03:11,15:30
13509,Asn Gd Express,Asansol Junction,ASN,Gonda Junction,GD,18:08,11:41
13507,Asn Gkp Express,Asansol Junction,ASN,Gorakhpur Junction,GKP,04:45,17:12
12342,AgnibREWA Express,Asansol Junction,ASN,Howrah Junction,HWH,05:27,22:40
3563,Asn Jp Special,Asansol Junction,ASN,Jaipur,JP,11:11,17:34
12376,Asn Mas Express,Asansol Junction,ASN,Chennai Central,MAS,17:49,16:30
3555,Asn Mfp Special,Asansol Junction,ASN,Muzaffarpur Junction,MFP,12:10,17:56
12361,Asn Cstm Express,Asansol Junction,ASN,Mumbai Central,MMCT,11:44,21:02
3511,Asn Pnbe Special,Asansol Junction,ASN,Patna Junction,PNBE,02:07,18:14
3557,Asn Pnbe Special,Asansol Junction,ASN,Patna Junction,PNBE,07:26,18:36
3516,Asn Puri Special,Asansol Junction,ASN,Puri,PURI,14:27,01:11
12384,Intercity Express,Asansol Junction,ASN,Sealdah,SDAH,17:31,07:01
13504,Intercity Express,Asansol Junction,ASN,Sealdah,SDAH,23:32,03:03
13512,Tatanagar Express,Asansol Junction,ASN,Tatanagar Junction,TATA,15:57,09:39
,,,,,,,
19614,Asr Aii Express,Amritsar Junction,ASR,Ajmer Junction,AII,11:53,18:22
19612,Asr Ajmer Express,Amritsar Junction,ASR,Ajmer Junction,AII,20:09,14:48
19772,Asr Jaipur Express,Amritsar Junction,ASR,Ajmer Junction,AII,09:53,16:57
19782,Asr Jp Express,Amritsar Junction,ASR,Ajmer Junction,AII,00:09,23:38
12926,Paschim Express,Amritsar Junction,ASR,Bandra Terminus,BDTS,12:43,14:40
12242,Asr Cdg Superfast,Amritsar Junction,ASR,Chandigarh Junction,CDG,02:56,17:51
12412,Intercity Express,Amritsar Junction,ASR,Chandigarh Junction,CDG,11:08,06:44
14154,Asr Cnb Express,Amritsar Junction,ASR,Kanpur Central,CNB,12:03,08:34
18238,Chhatisgarh Express,Amritsar Junction,ASR,Chhindwara Junction,CWA,21:49,03:24
15934,Asr DBRG Express,Amritsar Junction,ASR,Dibrugarh,DBRG,18:43,08:24
14632,Asr Ddn Express,Amritsar Junction,ASR,Dehradun,DDN,10:06,13:11
12054,Asr Hw Jnshtbdi,Amritsar Junction,ASR,Haridwar Junction,HW,18:33,13:57
13050,Asr Hwh Express,Amritsar Junction,ASR,Howrah Junction,HWH,13:02,20:40
13006,Asr Hwh Mail,Amritsar Junction,ASR,Howrah Junction,HWH,19:10,10:59
19326,Asr Indb Express,Amritsar Junction,ASR,Indore Junction Bg,INDB,15:32,23:08
14650,Saryuyamuna Express,Amritsar Junction,ASR,Jaynagar,JYG,11:56,21:15
14674,Shaheed Express,Amritsar Junction,ASR,Jaynagar,JYG,20:40,00:31
12484,Asr Kcvl Express,Amritsar Junction,ASR,Kochuveli,KCVL,19:48,20:05
15708,Asr Kir Express,Amritsar Junction,ASR,Katihar Junction,KIR,18:06,07:14
12358,Asr Koaa Superfast Express,Amritsar Junction,ASR,Kolkata,KOAA,11:43,17:20
14616,Asr Lku Express,Amritsar Junction,ASR,Lal Kuan,LKU,14:47,14:48
14606,Garib Rath Express,Amritsar Junction,ASR,Lal Kuan,LKU,18:27,16:32
11058,Asr Ltt Express,Amritsar Junction,ASR,Lokmanyatilak T,LTT,10:24,20:05
12904,Goldn Temple Ml,Amritsar Junction,ASR,Mumbai Central,MMCT,08:22,08:45
12014,Amritsar Shatabdi,Amritsar Junction,ASR,New Delhi,NDLS,20:46,00:37
12032,Amritsar Shatabdi,Amritsar Junction,ASR,New Delhi,NDLS,17:20,16:02
12460,Asr Ndls Express,Amritsar Junction,ASR,New Delhi,NDLS,05:40,20:44
12498,Shane Punjab,Amritsar Junction,ASR,New Delhi,NDLS,03:53,02:30
12030,Swarna Shatabdi,Amritsar Junction,ASR,New Delhi,NDLS,21:26,20:07
12716,Asr Ned Express,Amritsar Junction,ASR,Nanded,NED,18:21,03:48
12422,Asr Ned Superfast Express,Amritsar Junction,ASR,Nanded,NED,19:57,13:00
4602,Ned Premium Special,Amritsar Junction,ASR,Nanded,NED,17:22,02:33
12318,Akal Takhat Express,Amritsar Junction,ASR,Sealdah,SDAH,12:03,14:07
12380,Jalianwala B Express,Amritsar Junction,ASR,Sealdah,SDAH,16:28,06:25
2204,Shc Garib Rath,Amritsar Junction,ASR,Saharsa Junction,SHC,15:07,04:21
12204,Shc Garib Rath,Amritsar Junction,ASR,Saharsa Junction,SHC,17:49,17:49
18104,Jalianwala B Express,Amritsar Junction,ASR,Tatanagar Junction,TATA,22:41,21:52
18508,Hirakund Express,Amritsar Junction,ASR,Vishakapatnam,VSKP,19:43,22:52
,,,,,,,
12072,Janshatabdi Express,Aurangabad,AWB,Dadar Western,DDR,21:27,01:31
57550,Hyderabad Passenger,Aurangabad,AWB,Hyderabad Decan,HYB,10:04,03:22
17619,Awb Ned Express,Aurangabad,AWB,Nanded,NED,23:46,18:44
7505,Awb Qln Special,Aurangabad,AWB,Kollam Junction,QLN,14:07,09:02
17621,Awb Ru Express,Aurangabad,AWB,Renigunta Junction,RU,21:23,15:40
7405,Awb Tpty Special,Aurangabad,AWB,Tirupati,TPTY,08:52,05:42
,,,,,,,
12832,Dhn Garib Rath,Bhubaneswar,BBS,Dhanbad Junction,DHN,08:44,04:19
12074,Bbs Jan Shatabd,Bhubaneswar,BBS,Howrah Junction,HWH,20:31,14:31
18447,Hirakhand Express,Bhubaneswar,BBS,Jagdalpur,JDB,18:23,01:43
12880,Bbs Ltt Superfast Express,Bhubaneswar,BBS,Lokmanyatilak T,LTT,00:23,22:44
12830,Bbs Chennai Express,Bhubaneswar,BBS,Chennai Central,MAS,09:43,07:30
1020,Bbs Cstm Special,Bhubaneswar,BBS,Mumbai Central,MMCT,11:35,05:35
11020,Konark Express,Bhubaneswar,BBS,Mumbai Central,MMCT,01:02,08:28
12281,Bbs Duronto Express,Bhubaneswar,BBS,New Delhi,NDLS,23:47,05:18
2815,Bbs Ndls Superfast Special,Bhubaneswar,BBS,New Delhi,NDLS,06:12,00:11
22805,Bbs Ndls Superfast Express,Bhubaneswar,BBS,New Delhi,NDLS,00:55,18:09
22811,Bbs RaJPhani Express,Bhubaneswar,BBS,New Delhi,NDLS,18:05,09:23
22823,Bbs RaJPhani Express,Bhubaneswar,BBS,New Delhi,NDLS,06:04,09:29
12819,Orissa S Kranti,Bhubaneswar,BBS,New Delhi,NDLS,18:54,22:45
12898,Bbs Pdy Express,Bhubaneswar,BBS,Puducherry,PDY,05:47,07:20
8449,Bbs Pnbe Special,Bhubaneswar,BBS,Patna Junction,PNBE,19:40,10:18
12582,Bbs Pune Express,Bhubaneswar,BBS,Pune Junction,PUNE,16:04,16:33
22882,Bbs Pune Express,Bhubaneswar,BBS,Pune Junction,PUNE,00:56,07:42
2882,Bbs Pune Premiu,Bhubaneswar,BBS,Pune Junction,PUNE,09:02,14:15
18496,Bbs Rmm Express,Bhubaneswar,BBS,Rameswaram,RMM,21:46,15:46
18106,Bbs Rou Intercity Express,Bhubaneswar,BBS,Rourkela,ROU,05:20,10:40
18463,Prasanthi Express,Bhubaneswar,BBS,Bangalore Cy Junction,SBC,05:55,16:55
17015,Visakha Express,Bhubaneswar,BBS,Secunderabad Junction,SC,16:04,22:41
22871,Bbs Tpty Express,Bhubaneswar,BBS,Tirupati,TPTY,04:50,08:21
22879,Bbs Tpty Superfast Express,Bhubaneswar,BBS,Tirupati,TPTY,16:47,00:32
18411,Inter City Express,Bhubaneswar,BBS,Vishakapatnam,VSKP,04:23,19:05
2845,Bbs Ypr Superfast Special,Bhubaneswar,BBS,Yesvantpur Junction,YPR,00:51,11:59
12845,Bbs Ypr Superfast Express,Bhubaneswar,BBS,Yesvantpur Junction,YPR,23:52,15:49
